side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2025-04-29 12:50:00,2025-04-29 13:00:00,3309.995,3305.281428571429,3319.422142857142,0.1,0.1,0.47135714285709585,0.0,0.016,0.002,0.0,0,2025-04-29 13:30:00,3316.999,news_close,False,0.7003999999999906,1.485922109410645
-1,2025-05-09 08:15:00,2025-05-09 08:45:00,3326.535,3329.8850714285713,3319.834857142857,0.15,0.15,0.5025107142857222,0.0,0.024,0.014999999999986358,0.0,0,2025-05-09 11:05:00,3329.9850714285712,sl,False,-0.5175107142857086,-1.0298501098057335
-1,2025-05-23 08:00:00,2025-05-23 09:20:00,3330.395,3334.40855,3322.3678999999997,0.12,0.12,0.48162600000001476,0.0,0.0192,0.011999999999989085,0.0,0,2025-05-23 11:40:00,3334.50855,sl,False,-0.49362600000000384,-1.0249155984103613
1,2025-06-16 08:15:00,2025-06-16 08:20:00,3415.648,3408.8254357142855,3429.2931285714294,0.07,0.07,0.4775795000000244,0.0,0.011200000000000002,0.006999999999993635,0.0,0,2025-06-16 13:15:00,3408.7254357142856,sl,False,-0.48457950000001804,-1.0146572455475857
-1,2025-09-25 09:25:00,2025-09-25 09:45:00,3757.109,3761.7182142857146,3747.8905714285706,0.1,0.1,0.4609214285714643,0.0,0.016,0.0,0.0,0,2025-09-25 11:00:00,3747.8905714285706,tp,False,0.9218428571429286,2.0
1,2025-09-25 14:20:00,2025-09-25 14:35:00,3728.775,3721.283907142857,3743.757185714286,0.06,0.06,0.4494655714285818,0.0,0.0096,0.0,0.0,0,2025-09-25 17:55:00,3743.757185714286,tp,False,0.8989311428571636,2.0
-1,2025-11-04 10:00:00,2025-11-04 10:15:00,3995.095,4000.8653357142857,3983.554328571428,0.08,0.08,0.46162685714287366,0.0,0.0128,0.0,0.0,0,2025-11-04 13:25:00,3983.554328571428,tp,False,0.9232537142857473,2.0
1,2025-11-28 10:05:00,2025-11-28 10:25:00,4167.476,4160.5993285714285,4181.229342857142,0.07,0.07,0.48136699999998206,0.0,0.011200000000000002,0.007000000000025467,0.0,0,2025-11-28 10:30:00,4160.499328571428,sl,False,-0.4883670000000075,-1.0145419191594474
1,2025-12-08 14:05:00,2025-12-08 14:35:00,4203.575,4197.0191428571425,4216.6867142857145,0.07,0.07,0.4589100000000145,0.0,0.011200000000000002,0.007000000000025467,0.0,0,2025-12-08 14:45:00,4196.919142857142,sl,False,-0.4659100000000399,-1.015253535551688
-1,2025-12-18 14:25:00,2025-12-18 14:30:00,4337.775,4343.4325,4326.459999999999,0.08,0.08,0.4526000000000204,0.0,0.0128,0.0,0.0,0,2025-12-18 14:35:00,4326.459999999999,tp,False,0.9052000000000407,2.0
-1,2026-01-27 08:25:00,2026-01-27 09:25:00,5087.655,5098.084921428572,5066.795157142856,0.04,0.04,0.41719685714288063,0.0,0.0064,0.004000000000014552,0.0,0,2026-01-27 09:55:00,5098.184921428572,sl,False,-0.4211968571428952,-1.009587799935522
1,2026-03-11 08:10:00,2026-03-11 08:15:00,5194.005,5184.413142857144,5213.188714285713,0.05,0.05,0.4795928571428249,0.0,0.008,0.00500000000001819,0.0,0,2026-03-11 08:25:00,5184.313142857143,sl,False,-0.48459285714284306,-1.0104255097329966
1,2026-03-25 10:50:00,2026-03-25 12:25:00,4551.105,4526.879207142857,4599.556585714285,0.02,0.02,0.484515857142851,0.0,0.0032,0.002000000000007276,0.0,0,2026-03-25 12:30:00,4526.779207142857,sl,False,-0.48651585714285833,-1.0041278318769609
1,2026-04-10 09:15:00,2026-04-10 10:05:00,4743.755,4732.151685714286,4766.961628571428,0.04,0.04,0.4641325714285631,0.0,0.0064,0.0,0.0,0,2026-04-10 11:55:00,4766.961628571428,tp,False,0.9282651428571262,2.0
1,2026-04-15 08:50:00,2026-04-15 09:00:00,4813.418,4803.234185714286,4833.785628571428,0.05,0.05,0.5091907142857054,0.0,0.008,0.00500000000001819,0.0,0,2026-04-15 09:10:00,4803.134185714285,sl,False,-0.5141907142857235,-1.0098195034978832
1,2026-04-16 15:05:00,2026-04-16 16:30:00,4790.175,4771.9632357142855,4826.59852857143,0.02,0.02,0.36423528571429414,0.0,0.0032,0.002000000000007276,-0.010780000000000001,1,2026-04-17 01:10:00,4771.863235714285,sl,False,-0.37701528571430143,-1.0350872101118505
-1,2026-04-24 12:40:00,2026-04-24 13:40:00,4706.425,4717.489285714285,4684.296428571431,0.04,0.04,0.44257142857139115,0.0,0.0064,0.004000000000014552,0.0,0,2026-04-24 14:05:00,4717.589285714285,sl,False,-0.4465714285714057,-1.009038089089769
